LME Number,LME Name,Area (km2)
1,East Bering Sea,"1,156,684"
2,Gulf of Alaska,"1,406,422"
3,California Current,"2,198,805"
4,Gulf of California,"187,408"
5,Gulf of Mexico,"1,487,243"
6,Southeast U.S. Continental Shelf,"273,604"
7,Northeast U.S. Continental Shelf,"278,780"
8,Scotian Shelf,"360,362"
9,Newfoundland-Labrador Shelf,"644,710"
10,Insular Pacific-Hawaiian,"970,483"
11,Pacific Central-American Coastal,"1,945,330"
12,Caribbean Sea,"3,155,197"
13,Humboldt Current,"2,468,858"
14,Patagonian Shelf,"1,126,103"
15,South Brazil Shelf,"547,393"
16,East Brazil Shelf,"1,042,563"
17,North Brazil Shelf,"992,523"
18,West Greenland Shelf,"315,069"
19,East Greenland Shelf,"499,461"
20,Barents Sea,"1,755,845"
21,Norwegian Sea,"1,078,730"
22,North Sea,"656,038"
23,Baltic Sea,"343,751"
24,Celtic-Biscay Shelf,"714,798"
25,Iberian Coastal,"280,374"
26,Mediterranean Sea,"2,356,569"
27,Canary Current,"1,086,163"
28,Guinea Current,"1,894,861"
29,Benguela Current,"1,450,009"
30,Agulhas Current,"2,550,561"
31,Somali Coastal Current,"817,048"
32,Arabian Sea,"3,843,215"
33,Red Sea,"409,773"
34,Bay of Bengal,"3,585,440"
35,Gulf of Thailand,"362,568"
36,South China Sea,"3,100,417"
37,Sulu-Celebes Sea,"940,316"
38,Indonesian Sea,"2,129,162"
39,North Australian Shelf,"735,694"
40,Northeast Australian Shelf,"1,264,549"
41,East Central Australian Shelf,"649,212"
42,Southeast Australian Shelf,"1,177,870"
43,Southwest Australian Shelf,"1,017,977"
44,West-Central Australian Shelf,"539,684"
45,Northwest Australian Shelf,"888,022"
46,New Zealand Shelf,"940,894"
47,East China Sea,"744,116"
48,Yellow Sea,"409,864"
49,Kuroshio Current,"1,296,824"
50,Sea of Japan / East Sea,"938,298"
51,Oyashio Current,"518,772"
52,Sea of Okhotsk,"1,497,758"
53,West Bering Sea,"2,136,750"
54,Chukchi Sea,"752,459"
55,Beaufort Sea,"621,896"
56,East Siberian Sea,"978,514"
57,Laptev Sea,"495,700"
58,Kara Sea,"885,286"
59,Iceland Shelf,"1,095,889"
60,Faroe Plateau,"149,839"
61,Antarctic,"3,962,791"
62,Black Sea,"419,518"
63,Hudson Bay,"1,135,783"
64,Arctic Ocean,"3,479,735"
65,Aleutian Islands,"982,382"
66,Canadian High Arctic - North Greenland,"690,651"